NOM_SCIENTIFIQUE;NOM_LATIN
Aaronsohnia pubescens (Desf.) K.Bremer & Humphries, 1993;Aaronsohnia pubescens
Aaronsohnia Warb. & Eig, 1927;Aaronsohnia Warb
Abbottella concinna Hollenberg, 1967;Abbottella concinna
Abbottella Hollenb., 1967;Abbottella Hollenb
Abelia R.Br., 1818;Abelia R
Abelia x grandiflora (Rovelli ex André) Rehder, 1900;Abelia x
Abelmoschus esculentus (L.) Moench, 1794;Abelmoschus esculentus
Abelmoschus manihot (L.) Medik., 1787;Abelmoschus manihot
Abelmoschus manihot subsp. manihot (L.) Medik., 1787;Abelmoschus manihot
Abelmoschus manihot subsp. tetraphyllus (Roxb. ex Hornem.) Borss.Waalk., 1966;Abelmoschus manihot
Abelmoschus Medik., 1787;Abelmoschus Medik
Abelmoschus moschatus Medik., 1787;Abelmoschus moschatus
Abelmoschus moschatus subsp. moschatus Medik., 1787;Abelmoschus moschatus
Abelmoschus moschatus subsp. tuberosus (Span.) Borss.Waalk., 1966;Abelmoschus moschatus
Abies alba Mill., 1768;Abies alba
Abies alba x Abies nordmanniana ;Abies alba
Abies amabilis J.Forbes, 1849;Abies amabilis
Abies balsamea (L.) Mill., 1768;Abies balsamea
Abies bornmuelleriana Mattf., 1925;Abies bornmuelleriana
Abies bracteata (D.Don) Poit., 1845;Abies bracteata
Abies cephalonica Loudon, 1838;Abies cephalonica
Abies chensiensis Tiegh., 1892;Abies chensiensis
Abies cilicica (Antoine & Kotschy) Carrière, 1855;Abies cilicica
Abies concolor (Gordon & Glend.) Lindl. ex Hildebr., 1861;Abies concolor
Abies delavayi Franch., 1899;Abies delavayi
Abies equi-trojani (Asch. & Sint. ex Boiss.) Mattf., 1925;Abies equi-trojani
Abies ernestii Rehder, 1939;Abies ernestii
Abies fabri (Mast.) Craib, 1920;Abies fabri
Abies firma Siebold & Zucc., 1842;Abies firma
Abies forrestii Coltm.-Rog., 1919;Abies forrestii
Abies georgei Orr, 1933;Abies georgei
Abies grandis (Douglas ex D.Don) Lindl., 1833;Abies grandis
Abies holophylla Maxim., 1866;Abies holophylla
Abies kawakamii (Hayata) T.Itô, 1920;Abies kawakamii
Abies koreana E.H.Wilson, 1920;Abies koreana
Abies lasiocarpa (Hook.) Nutt., 1849;Abies lasiocarpa
Abies lowiana (Gordon) A.Murray, 1863;Abies lowiana
Abies magnifica A.Murray, 1863;Abies magnifica
Abies Mill., 1754;Abies Mill
Abies nebrodensis (Lojac.) Mattei, 1908;Abies nebrodensis
Abies nordmanniana (Steven) Spach, 1841;Abies nordmanniana
Abies numidica de Lannoy ex Carrière, 1866;Abies numidica
Abies pardei Gaussen, 1929;Abies pardei
Abies pindrow (Royle ex D.Don) Royle, 1836;Abies pindrow
Abies pinsapo Boiss., 1838;Abies pinsapo
Abies procera Rehder, 1949;Abies procera
Abies recurvata Mast., 1906;Abies recurvata
Abies sibirica Ledeb., 1833;Abies sibirica
Abies spectabilis (D.Don) Mirb., 1825;Abies spectabilis
Abies squamata Mast., 1906;Abies squamata
Abies veitchii Lindl., 1861;Abies veitchii
Abies x borisii-regis Mattf., 1925;Abies x
Abies x insignis Carrière ex Bailly, 1890;Abies x
Abies x vilmorinii Mast., 1901;Abies x
Abieteae Rich. ex Dumort., 1827;Abieteae Rich
Abietinella abietina (Hedw.) M.Fleisch., 1922;Abietinella abietina
Abietinella Müll.Hal.;Abietinella Müll
Abietoideae Sweet, 1826;Abietoideae Sweet
Abildgaardia ovata (Burm.f.) Kral, 1971;Abildgaardia ovata
Abildgaardia Vahl, 1805;Abildgaardia Vahl
Abolboda americana (Aubl.) Lanj., 1937;Abolboda americana
Abolboda Bonpl., 1813;Abolboda Bonpl
Abolboda grandis Griseb., 1848;Abolboda grandis
Abolboda pulchella Bonpl., 1813;Abolboda pulchella
Abrinae Wight & Arn. ex Endl., 1840;Abrinae Wight
Abrodictyum asaegrayi (Bosch) Ebihara & K.Iwats., 2006;Abrodictyum asaegrayi
Abrodictyum C.Presl, 1843;Abrodictyum C
Abrodictyum caudatum (Brack.) Ebihara & K.Iwats., 2006;Abrodictyum caudatum
Abrodictyum dentatum (Bosch) Ebihara & K.Iwats., 2006;Abrodictyum dentatum
Abrodictyum flavofuscum (Bosch) Ebihara & K.Iwats., 2006;Abrodictyum flavofuscum
Abrodictyum laetum (Bosch) Ebihara & K.Iwats., 2006;Abrodictyum laetum
Abrodictyum parviflorum (Poir.) Bauret & Dubuisson, 2017;Abrodictyum parviflorum
Abrodictyum pluma (Hook.) Ebihara & K.Iwats., 2006;Abrodictyum pluma
Abrodictyum rigidum (Sw.) Ebihara & Dubuisson, 2006;Abrodictyum rigidum
Abrodictyum subg. Abrodictyum C.Presl, 1843;Abrodictyum subg
Abrodictyum subg. Pachychaetum (C.Presl) Ebihara & K.Iwats., 2006;Abrodictyum subg
Abrodictyum tamarisciforme (Jacq.) Ebihara & Dubuisson, 2006;Abrodictyum tamarisciforme
Abroma augustum (L.) L.f., 1781;Abroma augustum
Abroma Jacq., 1776;Abroma Jacq
Abrus Adans., 1763;Abrus Adans
Abrus precatorius L., 1767;Abrus precatorius
Abrus precatorius subsp. africanus Verdc., 1970;Abrus precatorius
Abrus precatorius subsp. precatorius L., 1767;Abrus precatorius
Abuta Aubl., 1775;Abuta Aubl
Abuta barbata Miers, 1871;Abuta barbata
Abuta bullata Moldenke, 1938;Abuta bullata
Abuta candollei Triana & Planch., 1862;Abuta candollei
Abuta grandifolia (Mart.) Sandwith, 1937;Abuta grandifolia
Abuta grisebachii Triana & Planch., 1862;Abuta grisebachii
Abuta imene (Mart.) Eichler, 1864;Abuta imene
Abuta obovata Diels, 1936;Abuta obovata
Abuta rufescens Aubl., 1775;Abuta rufescens
Abuta sandwithiana Krukoff & Barneby, 1970;Abuta sandwithiana
Abuta solimoesensis Krukoff & Barneby, 1970;Abuta solimoesensis
Abutilon auritum (Wall. ex Link) Sweet, 1826;Abutilon auritum
Abutilon exstipulare (Cav.) G.Don, 1831;Abutilon exstipulare
Abutilon grandifolium (Willd.) Sweet, 1826;Abutilon grandifolium
Abutilon guineense (Schumach.) Baker f. & Exell, 1936;Abutilon guineense
Abutilon hirtum (Lam.) Sweet, 1826;Abutilon hirtum
Abutilon hulseanum (Torr. & A.Gray) Torr. ex A.Gray, 1849;Abutilon hulseanum
Abutilon indicum (L.) Sweet, 1826;Abutilon indicum
Abutilon indicum subsp. albescens (Miq.) Borss.Waalk., 1966;Abutilon indicum
Abutilon indicum subsp. indicum (L.) Sweet, 1826;Abutilon indicum
Abutilon mangarevicum Fosberg, 1981;Abutilon mangarevicum
Abutilon Mill., 1754;Abutilon Mill
Abutilon mollissimum (Cav.) Sweet, 1826;Abutilon mollissimum
Abutilon oxycarpum (F.Muell.) F.Muell. ex Benth., 1863;Abutilon oxycarpum
Abutilon pseudocleistogamum Hochr., 1917;Abutilon pseudocleistogamum
Abutilon sachetianum Fosberg, 1981;Abutilon sachetianum
Abutilon theophrasti Medik., 1787;Abutilon theophrasti
Acacia acinacea Lindl., 1838;Acacia acinacea
Acacia ancistrocarpa Maiden & Blakely, 1927;Acacia ancistrocarpa
Acacia aneura F.Muell. ex Benth., 1855;Acacia aneura
Acacia auriculiformis A.Cunn. ex Benth., 1842;Acacia auriculiformis
Acacia baileyana F.Muell., 1888;Acacia baileyana
Acacia bivenosa DC., 1825;Acacia bivenosa
Acacia celsa Tindale, 2000;Acacia celsa
Acacia crassicarpa A.Cunn. ex Benth., 1842;Acacia crassicarpa
Acacia cultriformis A.Cunn. ex G.Don, 1832;Acacia cultriformis
Acacia cyclops A.Cunn. ex G.Don, 1832 [nom. cons.];Acacia cyclops
Acacia dealbata Link, 1822;Acacia dealbata
Acacia decurrens (J.C.Wendl.) Willd., 1805;Acacia decurrens
Acacia heterophylla Willd., 1806;Acacia heterophylla
Acacia holosericea A.Cunn. ex G.Don, 1832;Acacia holosericea
Acacia ixiophylla Benth., 1842;Acacia ixiophylla
Acacia koa A.Gray, 1854;Acacia koa
Acacia longifolia (Andrews) Willd., 1806;Acacia longifolia
Acacia longifolia subsp. longifolia (Andrews) Willd., 1806;Acacia longifolia
Acacia longifolia subsp. sophorae (Labill.) Court, 2001;Acacia longifolia
Acacia mangium Willd., 1806;Acacia mangium
Acacia mearnsii De Wild., 1925;Acacia mearnsii
Acacia melanoxylon R.Br., 1813;Acacia melanoxylon
Acacia Mill., 1754 [nom. cons.];Acacia Mill
Acacia muricata (L.) Willd., 1806;Acacia muricata
Acacia paradoxa DC., 1813;Acacia paradoxa
Acacia peuce F.Muell., 1863;Acacia peuce
Acacia podalyriifolia A.Cunn. ex G.Don, 1832;Acacia podalyriifolia
Acacia pravissima F.Muell., 1853;Acacia pravissima
Acacia pycnantha Benth., 1842;Acacia pycnantha
Acacia retinodes Schltdl., 1847;Acacia retinodes
Acacia retusa (Jacq.) R.A.Howard, 1973;Acacia retusa
Acacia riceana Hensl., 1839;Acacia riceana
Acacia salicina Lindl., 1838;Acacia salicina
Acacia saligna (Labill.) H.L.Wendl., 1820;Acacia saligna
Acacia scleroxyla Tussac, 1808;Acacia scleroxyla
Acacia simplex (Sparrm.) Pedley, 1975;Acacia simplex
Acacia spirorbis Labill., 1825;Acacia spirorbis
Acacia spirorbis subsp. spirorbis Labill., 1825;Acacia spirorbis
Acacia tamarindifolia (L.) Willd., 1806;Acacia tamarindifolia
Acacia tortuosa (L.) Willd., 1806;Acacia tortuosa
Acacia trachycarpa E.Pritz., 1904;Acacia trachycarpa
Acacia verticillata (L'Hér.) Willd., 1806;Acacia verticillata
Acaciella Britton & Rose, 1928;Acaciella Britton
Acaciella glauca (L.) L.Rico, 2006;Acaciella glauca
Acaena insularis Citerne, 1897;Acaena insularis
Acaena magellanica Vahl, 1804;Acaena magellanica
Acaena Mutis ex L., 1771;Acaena Mutis
Acalypha alopecuroidea Jacq., 1789;Acalypha alopecuroidea
Acalypha amentacea Roxb., 1832;Acalypha amentacea
Acalypha aristata Kunth, 1817;Acalypha aristata
Acalypha balansae Guillaumin, 1929;Acalypha balansae
Acalypha berryi I.Montero, Cardiel & G.A.Levin, 2023;Acalypha berryi
Acalypha chamaedrifolia (Lam.) Müll.Arg., 1866;Acalypha chamaedrifolia
Acalypha chibomboa Baill., 1861;Acalypha chibomboa
Acalypha claoxyloides Hutch., 1918;Acalypha claoxyloides
Acalypha diversifolia Jacq., 1797;Acalypha diversifolia
Acalypha filiformis Poir., 1804;Acalypha filiformis
Acalypha godseffiana 'Heterophylla' ;Acalypha godseffiana
Acalypha godseffiana Mast., 1898;Acalypha godseffiana
Acalypha grandis Benth., 1843;Acalypha grandis
Acalypha hispida 'Alba' ;Acalypha hispida
Acalypha hispida Burm.f., 1768;Acalypha hispida
Acalypha indica L., 1753;Acalypha indica
Acalypha integrifolia Willd., 1805;Acalypha integrifolia
Acalypha L., 1753;Acalypha L
Acalypha lanceolata Willd., 1805;Acalypha lanceolata
Acalypha lepinei Müll.Arg., 1865;Acalypha lepinei
Acalypha marginata (Poir.) Spreng., 1826;Acalypha marginata
Acalypha mayottensis I.Montero & Cardiel, 2020;Acalypha mayottensis
Acalypha pancheriana Baill., 1862;Acalypha pancheriana
Acalypha pervilleana Baill., 1861;Acalypha pervilleana
Acalypha poiretii Spreng., 1826;Acalypha poiretii
