Abies alba;Arbre sempervirent pouvant atteindre 45 à 50 m de hauteur, à port conique puis ovoïde. Ecorce lisse blanchâtre. Jeunes rameaux à pubescence courte et noirâtre. Feuilles linéaires dépassant rarement 20 mm de longueur, disposées sur deux rangs sur les rameaux stériles (et disposées en brosse sur les rameaux fertiles). Feuilles non piquantes présentant deux raies blanches sur la face inférieure. Cônes longs de 10 à 15 cm, les mâles axillaires pendants, les femelles dressés. Bractées saillantes dépassant les écailles et réfléchies. Graines ailées longues de 8 à 13 mm, subtriangulaires.
Abies grandis;"Arbre haut de 35 à 50 mètres, à port pyramidal. Rameaux de deux ans brun verdâtre, luisants, glabres. Bourgeons résineux. Aiguilles paraissant disposées sur un plan sur les rameaux stériles (en brosse sur les rameaux fertiles), en peigne à dents inégales ; aiguilles longues de 20 à 55 mm, présentant 2 raies blanches à la face inférieure, dégageant une forte odeur de citronnelle au froissement, à l’extrémité un peu arrondie et échancrée. Cônes dressés, longs de 10 à 12 cm ; bractées ne dépassant pas les écailles."
Abies nordmanniana;"Arbre pouvant atteindre 40m de hauteur, à port pyramidal. Rameaux de deux ans lisses, verdâtres et glabres. Bourgeons non résineux. Aiguilles longues de 25 à 30 mm, disposées en brosse, rabattues vers l’extrémité du rameau, présentant 2 raies blanches à la face inférieure, à extrémité tronquée, échancrée ; bractées dépassant les écailles, saillantes et réfléchies. Cônes dressés, longs de 10 à 12 mm."
Abies numidica;"Arbre pouvant atteindre 10 à 30 mètres de haut. L’écorce est grise et lisse chez les jeunes arbres, puis devient crevassée et brunâtre, formant des écailles. Les jeunes rameaux, vert olive ou brun, sont presque glabres. Les rameaux de deux ans sont bruns et glabres. Les bourgeons sont brun-rouge et résineux à la base. Les feuilles sont linéaires (« aiguilles »), longues de 15 à 25 mm et larges de 2 à 2,5 mm, à apex arrondi à émarginé. Leur face supérieure est vert foncé, à une rayure blanche, et la face inférieure porte deux rayures blanches. Elles dégagent une odeur résineuse lorsqu’on les froisse. Elles sont très rigides, disposées de façon radiale et dense en demi écouvillon autour des rameaux, et étalées à angle droit. Les cônes mesurent 15 à 20 cm de long ; les bractées, atteignant la moitié de la longueur de l’écaille, sont incluses dans le cône fermé."
Abutilon theophrasti;"Plante annuelle, haute de 1 à 2 m, mollement velue, à poils étoilés ; tige dressée, arrondie ; feuilles veloutées, orbiculaires en cœur, acuminées, crénelées ; fleurs jaunes, axillaires et terminales, solitaires sur des pédoncules plus courts que le pétiole ; calicule nul ; calice à lobes ovales-aigus, plissés au milieu ; corolle dépassant peu le calice ; stigmates en tête ; 12 à 15 capsules, soudées à la base, verticillées, velues, plus longues que le calice, tronquées, à 2 pointes, à 2 valves, à 3 graines."
Acacia dealbata;"
        Arbre atteignant 15 m de haut ou arbuste, à feuilles persistantes, inerme. Jeunes pousses blanches-tomenteuses. Feuilles bipennées à 8-25 paires de segments primaires, folioles longues de 2-5 mm. Fleurs jaunes, très odorantes, à 4-5 pétales soudés en tube court, longuement dépassés par les nombreuses (>20) étamines libres. Fleurs nombreuses, groupées en têtes globuleuses, celles-ci 5-8 mm de diamètre, réunies en panicule. Gousse longue de 3-11 cm."
Acalypha virginica;"
        Haut. 15-50 cm. Tige rameuse, pubescente, souvent rougeâtre. Feuilles alternes, à long pétiole, lancéolées, à dents obtuses, limbe long de 2-4 cm et large de 1-2 cm. Monoïque. Fleurs petites, verdâtres, sans corolle, les mâles à calice à 4 divisions et 8-16 étamines, les femelles à calice à 3-5 divisions et 3 carpelles. Inflorescences longues de 1-2 cm, gén. mixtes, axillaires, entourées de bractées profondément lobées."
Acanthus mollis;-  Plante vivace de 30-80 cm, pubescente, à tige robuste, simple, arrondie  - feuilles opposées, les inférieurs pétiolées, très grandes (30-60 cm de long), molles, pennatifides, à divisions larges, lobées-dentées  - fleurs blanchâtres à nervures purpurines, très grandes (3-5 cm de long), sessiles en gros épis terminaux munis de larges bractées épineuses  - calice glabre, à 4 lobes inégaux, fendu presque jusqu'à la base en 2 lèvres  - corolle unilabiée, à tube très court, à lèvre inférieur parcheminée, obovale-trilobée  - 4 étamines didynames, à gros filets épais, à anthères uniloculaires velues  - style filiforme, stigmate bifide  - capsule glabre, ovale, à 2 loges et à 2-4 graines grosses.
Acer campestre;- .  Arbre assez élevé, à écorce crevassée-subéreuse  - feuilles assez petites, un peu fermes, vertes sur les deux faces, pubescentes surtout en dessous, en coeur à la base, à 8 lobes sinués-lobés, obtus ou subaigus, séparés par des sinus profonds, à angles aigus un peu émoussés au sommet  - fleurs d'un vert jaunâtre, paraissant avec les feuilles, en corymbes rameux, dressés, subsessiles  - pédicelles, sépales et pétales velus  - filets des étamines glabres  - samares pubescentes ou glabres, à coques peu renflées, lisses, à ailes étalées horizontalement, non rétrécies à la base.
Acer cappadocicum;Arbre haut de 5 à 30 mètres. Ses feuilles adultes sont larges de 10 à 20 cm, opposées, simples, à 5 lobes toujours entiers et à sinus (échancrures comprises entre les différents lobes des feuilles) anguleux. Les inflorescences sont constituées de grappes de fleurs vertes hermaphrodites.
Acer monspessulanum;- .  Arbre ou arbuste atteignant au plus 5-6 mètres, à écorce fendillée  - feuilles petites, coriaces, glabres, vertes et luisantes en dessus, mates et glauques en dessous, à peine en coeur à la base, à 3 lobes triangulaires obtus, presque égaux et entiers, séparés par des sinus formant presque un angle droit  - fleurs d'un jaune verdâtre, paraissant avant ou avec les premières feuilles, en corymbes à la fin penchés, sessiles  - pétales et filets des étamines glabres  - samares glabres, petites, à coques très convexes, veinées, à ailes dressées-convergentes, rétrécies à la base.
Acer negundo;"Arbre haut de 15 à 20 m, à port assez lâche. Jeunes rameaux restant verts longtemps et fréquemment couverts d'une pruine bleuâtre. Feuilles adultes longues de 5 à 12 cm, composées de 3 à 5 folioles (rarement 7) ovales-acuminées et irrégulièrement dentées. Inflorescences axillaires pendantes se développant avant les feuilles, les mâles plus longues que les femelles. Plante dioïque ; pétales nuls ou rudimentaires. Samares longues de 5 à 40 mm, en général disposées par 2 ou 3 et dont les ailes forment un angle aigu."
Acer opalus;"Arbre élevé, à écorce lisse ; feuilles assez grandes, coriaces, vertes et glabres en dessus, mates, glauques-blanchâtres et souvent poilues en dessous, en coeur à la base, à 5 à 7 lobes courts et larges, lâchement dentés, obtus ou à peine acuminés, séparés par des sinus peu profonds, ouverts, presque droits ; fleurs d'un jaune verdâtre, paraissant avant les feuilles, en corymbes penchés, lâches, subsessiles ; sépales, pétales, filets des étamines glabres ; samares glabres, à coques très renflées, bossues, lisses, à ailes dressées-étalées, divergentes, non rétrécies à la base."
Acer platanoides;- .  Arbre élevé, à écorce lisse  - feuilles grandes, minces, glabres, vertes et luisantes en dessous, un peu en coeur à la base, à 5-7 lobes sinués-dentés, acuminés et très aigus, séparés par des sinus arrondis très ouverts  - fleurs d'un jaune verdâtre, paraissant avec les premières feuilles, en corymbes dressés, rameux, presque sessiles  - pédicelles, sépales, pétales, filets des étamines glabres  - samares glabres, à coques fortement comprimées, planes, lisses, à ailes étalées presque horizontalement, non rétrécies à la base.
Acer pseudoplatanus;- .  Arbre élevé, à écorce lisse  - feuilles grandes, vertes et glabres en dessus, mates et pubescentes-blanchâtre en dessous, un peu en coeur à la base, à 5 lobes ovales à peine acuminés, fortement et inégalement dentés, séparés profondément par des sinus très aigus  - fleurs verdâtres, paraissant après les premières feuilles, en grappes fournies, allongées, pendantes  - pédicelles, sépales, pétales, filets des étamines et ovaires velus  - samares glabres, à coques convexes, bossues-anguleuses, nervées, à ailes dressées-étalées, rétrécies à la base.
